symbol,name,exchange,vn30
SAB,Tổng CTCP Bia - Rượu - Nước giải khát Sài Gòn,HOSE,True
CTD,Công ty Cổ phần Xây dựng Coteccons,HOSE,True
VNM,Công ty Cổ phần Sữa Việt Nam,HOSE,True
ROS,CTCP Xây dựng FLC Faros,HOSE,True
MWG,Công ty cổ phần Đầu tư Thế giới Di động,HOSE,True
DHG,Công ty Cổ phần Dược Hậu Giang,HOSE,True
BMP,Công ty Cổ phần Nhựa Bình Minh,HOSE,True
GAS,Tổng Công ty Khí Việt Nam,HOSE,True
VIC,Tập đoàn Vingroup,HOSE,True
NVL,Tập đoàn Đầu tư Địa ốc No Va,HOSE,True
FPT,Công ty Cổ phần FPT,HOSE,True
MSN,Tập đoàn MaSan,HOSE,True
BVH,Tập đoàn Bảo Việt,HOSE,True
VCB,Ngân Hàng TMCP Ngoại Thương Việt Nam,HOSE,True
GMD,Công ty Cổ phần Gemadept,HOSE,True
HPG,Tập đoàn Hòa Phát,HOSE,True
KDC,Tập đoàn Kido,HOSE,True
REE,Công ty Cổ phần Cơ điện lạnh,HOSE,True
CII,Đầu tư Hạ tầng Kỹ thuật T.P Hồ Chí Minh,HOSE,True
NT2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,HOSE,True
HSG,Tập đoàn Hoa Sen,HOSE,True
SSI,Công ty cổ phần Chứng khoán Sài Gòn,HOSE,True
BID,Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam,HOSE,True
MBB,Ngân Hàng TMCP Quân Đội,HOSE,True
SBT,Công ty cổ phần Mía đường Thành Thành Công Tây Ninh,HOSE,True
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,HOSE,True
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí,HOSE,True
PVD,Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí,HOSE,True
KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc,HOSE,True
STB,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín,HOSE,True